Ticker,Sector,MarketCap,PE_Fwd,Growth,ROE,Margin,D_E,Ebitda_G
ADYEN.AS,Technology,34136203264,23.133263,0.189,0.21271,0.43555,6.928,0.129
UBER,Technology,161382678528,18.010317,0.122,0.3716,0.17345,51.872,0.855
ADP,Technology,112679616512,21.16963,0.068,0.72239,0.20109,91.436,0.098
DSY.PA,Technology,29736132608,16.120298,0.022,0.15088001,0.2133,36.229,0.318
UNH,Healthcare,355671932928,17.661844,0.004,0.14152999,0.03135,69.211,0.615
TEM,Healthcare,12126117888,-4421.382,0.216,-0.67442,-0.17767,324.58,
OSCR,Healthcare,10131271680,17.44248,0.704,0.34257,0.03595,23.458,
HIMS,Healthcare,7246737920,27.874844,0.382,-0.32033002,-0.05509,477.128,
DECK,Consumer Cyclical,12466086912,10.945766,0.057,0.42558,0.18361,20.521,0.011
ADBE,Technology,109717946368,10.040599,0.127,0.62953997,0.28689,61.443,0.079
ACN,Technology,114096594944,12.709473,0.056,0.24406,0.10656,25.035,0.09
DLO,Technology,4509673984,13.607345,0.558,0.41294,0.15043001,12.464,0.286
FDS,Financial Services,10867763200,15.510491,0.064,0.27032,0.2321,77.284,-0.096
WKL.AS,Industrials,15896948736,11.408072,-0.006,1.46141,0.21864,590.213,0.089
LULU,Consumer Cyclical,13767276544,10.773307,0.043,0.32027,0.13029,44.264,-0.35
NVO,Healthcare,206046576640,13.549295,0.021,0.59815,0.35347,63.327,-0.206
GEV,Industrials,250950189056,37.48255,0.219,0.82577,0.23035,28.364,0.328
BE,Industrials,60434071552,42.002632,1.655,0.22213,0.07868,171.578,
VRT,Industrials,97840889856,27.931187,0.241,0.43943,0.15088001,70.166,0.53
CEG,Utilities,96647970816,20.518028,0.23,0.15055001,0.110810004,76.419,-0.468
NEE,Utilities,174262763520,18.929241,0.124,0.11677,0.32401,161.676,0.531
SRE,Utilities,54535290880,15.055429,-0.001,0.06679,0.16824,84.663,0.713
VST,Utilities,45832663040,13.17385,-0.055,0.42962003,0.1155,373.28,-0.062
V,Financial Services,711895810048,25.428703,0.144,0.6119,0.50782,67.821,0.102
MA,Financial Services,522754523136,25.916351,0.141,2.41202,0.46339,439.583,0.221
MCO,Financial Services,87773323264,26.797531,0.151,0.76932,0.34252,240.682,0.567
SPGI,Financial Services,127993323520,21.451427,0.104,0.14255,0.30536,42.98,0.177
ISRG,Healthcare,134882729984,31.188824,0.185,0.17423001,0.28445998,,0.265
AXON,Industrials,49123454976,57.265728,0.353,0.06221,0.06191,50.363,-0.182
ABNB,Consumer Cyclical,115640483840,31.459578,0.165,0.34542,0.2045,32.004,0.334
ANET,Technology,238535442432,36.656227,0.377,0.31476,0.38371,,0.357
BSX,Healthcare,71331078144,14.3360615,0.075,0.15338999,0.17499,50.151,0.151
TTD,Communication Services,6282955776,13.434137,0.03,0.15441,0.13608,16.863,-0.236
NOW,Technology,132665180160,25.635752,0.24,0.14244,0.11336,67.538,-0.219
CRM,Technology,171359371264,13.482869,0.133,0.16908,0.18733,124.282,0.522
SCHW,Financial Services,196590878720,14.565844,0.209,0.20273,0.38793,151.106,0.426
BLK,Financial Services,190032150528,18.1875,0.306,0.122779995,0.24089001,23.192,0.196
GS,Financial Services,301368213504,13.980628,0.425,0.16902,0.31039,725.381,0.923
XOM,Energy,667959558144,15.214438,0.441,0.12584,0.09072,15.921,1.128
CVX,Energy,395792711680,15.282029,0.535,0.12231,0.09834,18.959,3.219
CAT,Industrials,372364247040,25.093878,0.24,0.56972003,0.14511,232.783,0.682
DE,Industrials,176547528704,29.1022,-0.111,0.18242,0.10168,376.022,-0.085
FIX,Industrials,56073011200,26.475246,0.01,0.55292,0.12775,45.489,0.388
ETN,Industrials,159191351296,25.56927,0.214,0.19684,0.12752,105.059,-0.159
HON,Industrials,68029587456,21.47874,0.043,0.46577,0.21581,185.369,2.639
WM,Industrials,90963189760,24.954931,0.04,0.29841,0.11115,235.301,0.083
SMCI,Technology,22763460608,6.607309,0.932,0.21465999,0.0571,64.308,4.094
ALAB,Technology,48070987776,43.339466,1.045,0.25826,0.30742002,2.574,1.862
CORT,Healthcare,13158818816,27.650198,0.317,0.08226,0.066420004,1.335,0.241
ONTO,Technology,16989563904,23.848991,0.353,0.06825,0.11838,76.547,0.754
AX,Financial Services,5500365824,8.976851,0.181,0.16773,0.35549998,,0.124
VIV,Communication Services,18366746624,11.092284,0.076,0.09872,0.10682,30.209,0.185
GHM,Industrials,1138316160,42.81898,0.286,0.074889995,0.045250002,3.534,-0.214
SLAB,Technology,7275621888,49.997826,0.183,-0.03628,-0.045689996,,
LSCC,Technology,16230285312,35.681786,0.622,0.04927,0.05579,4.836,6.0
LASR,Technology,2572982528,70.79365,0.338,-0.03805,-0.040159997,3.374,
SITM,Technology,17517881344,39.03256,1.265,0.013259999,0.03012,129.419,
MCHP,Technology,39869325312,16.08337,0.38,0.0719,0.0934,83.688,
MRVL,Technology,204625772544,36.468334,0.276,0.16028,0.28986,28.97,-0.804
BAM,Financial Services,83552231424,24.094442,0.608,0.26771,0.48893002,34.454,0.474
DHR,Healthcare,151570825216,23.19063,0.055,0.07605,0.15948,52.97,0.597
QSR,Consumer Cyclical,37232971776,18.378155,0.046,0.34792998,0.13125,290.102,1.512
BABA,Consumer Cyclical,285707337728,12.748772,0.086,0.0636,0.07039,23.928,-0.794
GE,Industrials,354151202816,37.611664,0.211,0.48231998,0.17716,113.225,0.194
CPNG,Consumer Cyclical,29602402304,61.27522,0.039,-0.19995001,-0.02163,188.584,
EXPE,Consumer Cyclical,40458522624,13.935684,0.14,0.89489,0.12968001,230.271,1.887
